Title;Genre;Premiere;No_of_Seasons;No_of_Episodes
Stranger Things;Science Fiction Horror;July 15, 2016;3;25
The Crown;Historical Drama;November 4, 2016;4;40
Ozark;Crime Drama;July 21, 2017;3;30
Lost in Space;Science Fiction;April 13, 2018;2;20
Narcos: Mexico;Crime Drama;November 16, 2018;2;20
The Umbrella Academy;Superhero Action;February 15, 2019;2;20
Black Summer;Zombie Drama;April 11, 2019;1;8
Another Life;Science Fiction Drama;July 25, 2019;1;10
Criminal: UK;Police;September 20, 2019;2;7
Raising Dion;Superhero Science Fiction Drama;October 4, 2019;1;9
Virgin River;Romantic Drama;December 6, 2019;2;20
The Witcher;Fantasy Drama;December 20, 2019;1;8
Locke & Key;Horror Teen Drama;February 7, 2020;1;10
The Letter for the King;Fantasy;March 20, 2020;1;6
Outer Banks;Coming Of Age Drama;April 15, 2020;1;10
Sweet Magnolias;Romance Drama;May 19, 2020;1;10
Blood & Water;Teen Drama;May 20, 2020;1;6
Homemade;Anthology;June 30, 2020;1;17
Warrior Nun;Fantasy;July 2, 2020;1;10
Cursed;Fantasy;July 17, 2020;1;10
Young Wallander;Detective Drama;September 3, 2020;1;6
Ratched;Drama;September 18, 2020;1;8
The Haunting of Bly Manor;Horror;October 9, 2020;9;10
Social Distance;Anthology;October 15, 2020;1;8
Grand Army;Teen Drama;October 16, 2020;1;9
The Queen's Gambit;Drama;October 23, 2020;7;10
Dash & Lily;Romance;November 10, 2020;1;8
Selena: The Series;Biopic;December 4, 2020;1;9
Tiny Pretty Things;Teen Drama;December 14, 2020;1;10
Bridgerton;Romance;December 25, 2020;1;8
Fate: The Winx Saga;Teen Drama Fantasy;January 22, 2021;1;6
Grace and Frankie;Comedy Drama;May 8, 2015;6;78
Master of None;Comedy;November 6, 2015;2;20
Dear White People;Satire Drama;April 28, 2017;3;30
Atypical;Coming Of Age Comedy;August 11, 2017;3;28
On My Block;Coming Of Age Comedy;March 16, 2018;3;28
The Kominsky Method;Comedy;November 16, 2018;2;16
Sex Education;Comedy Drama;January 11, 2019;2;16
Russian Doll;Comedy;February 1, 2019;1;8
After Life;Comedy;March 8, 2019;2;12
Special;Comedy;April 12, 2019;1;8
I Think You Should Leave with Tim Robinson;Sketch Comedy;April 23, 2019;1;6
Bonding;Dark Comedy;April 24, 2019;2;15
Dead to Me;Black Comedy Drama;May 3, 2019;2;20
Malibu Rescue: The Series;Comedy;June 3, 2019;1;8
Mr. Iglesias;Comedy;June 21, 2019;3;21
Family Reunion;Comedy;July 10, 2019;2;19
Team Kaylie;Sitcom;September 23, 2019;3;20
The Politician;Comedy;September 27, 2019;2;15
Gentefied;Comedy Drama;February 21, 2020;1;10
The Iliza Shlesinger Sketch Show;Sketch Comedy;April 1, 2020;1;6
Brews Brothers;Comedy;April 10, 2020;1;8
#blackAF;Sitcom;April 17, 2020;1;8
Never Have I Ever;Comedy;April 27, 2020;1;10
Space Force;Comedy;May 29, 2020;1;10
The Baby-Sitters Club;Dramedy;July 3, 2020;1;10
Game On: A Comedy Crossover Event;Comedy;August 10, 2020;1;4
Julie and the Phantoms;Musical Comedy;September 10, 2020;1;9
The Duchess;Comedy;September 11, 2020;1;6
Sneakerheads;Comedy;September 25, 2020;1;6
Emily in Paris;Comedy Drama;October 2, 2020;1;10
Aunty Donna's Big Ol' House of Fun;Comedy;November 11, 2020;1;6
How to Ruin Christmas: The Wedding;Comedy;December 16, 2020;1;3
F Is for Family;Sitcom;December 18, 2015;4;36
Big Mouth;Coming Of Age Comedy;September 29, 2017;4;41
