Title;Genre;Premiere;Runtime;IMDB Score;Language
Enter the Anime;Documentary;05/08/2019;58;25;English/Japanese
Dark Forces;Thriller;21/08/2020;81;26;Spanish
The App;Science fiction/Drama;26/12/2019;79;26;Italian
The Open House;Horror thriller;19/01/2018;94;32;English
Kaali Khuhi;Mystery;30/10/2020;90;34;Hindi
Drive;Action;01/11/2019;147;35;Hindi
Leyla Everlasting;Comedy;04/12/2020;112;37;Turkish
The Last Days of American Crime;Heist film/Thriller;05/06/2020;149;37;English
Paradox;Musical/Western/Fantasy;23/03/2018;73;39;English
Sardar Ka Grandson;Comedy;18/05/2021;139;41;Hindi
Searching for Sheela;Documentary;22/04/2021;58;41;English
The Call;Drama;27/11/2020;112;41;Korean
Whipped;Romantic comedy;18/09/2020;97;41;Indonesian
All Because of You;Action comedy;01/10/2020;101;42;Malay
Mercy;Thriller;22/11/2016;90;42;English
After the Raid;Documentary;19/12/2019;25;43;Spanish
Ghost Stories;Horror anthology;01/01/2020;144;43;Hindi
The Last Thing He Wanted;Political thriller;21/02/2020;115;43;English
What Happened to Mr. Cha?;Comedy;01/01/2021;102;43;Korean
Death Note;Horror thriller;25/08/2017;100;44;English
Hello Privilege. It's Me, Chelsea;Documentary;13/09/2019;64;44;English
Secret Obsession;Thriller;18/07/2019;97;44;English
Sextuplets;Comedy;16/08/2019;99;44;English
The Girl on the Train;Thriller;26/02/2021;120;44;Hindi
Thunder Force;Superhero-Comedy;09/04/2021;105;44;English
Fatal Affair;Thriller;16/07/2020;89;45;English
Just Say Yes;Romantic comedy;02/04/2021;97;45;Dutch
Seriously Single;Comedy;31/07/2020;107;45;English
The Misadventures of Hedi and Cokeman;Comedy;10/02/2021;99;45;French
5 Star Christmas;Comedy;07/12/2018;95;46;Italian
After Maria;Documentary;24/05/2019;37;46;English/Spanish
I Am the Pretty Thing That Lives in the House;Horror;28/10/2016;89;46;English
Paris Is Us;Romance drama;22/02/2019;83;46;French
Porta dos Fundos: The First Temptation of Christ;Comedy;03/12/2019;46;46;Portuguese
Rattlesnake;Horror;25/10/2019;85;46;English
The Players;Comedy;15/07/2020;88;46;Italian
We Are One;Documentary;14/07/2020;86;46;French
Finding Agnes;Drama;30/11/2020;105;47;Filipino
IO;Science fiction/Drama;18/01/2019;95;47;English
Sentinelle;Action;05/03/2021;80;47;French
Sol Levante;Anime / Short;02/04/2020;4;47;English
The Binding;Drama;02/10/2020;93;47;Italian
We Can Be Heroes;Superhero;25/12/2020;100;47;English
Christmas Crossfire;Thriller;04/12/2020;106;48;German
Coin Heist;Heist;06/01/2017;97;48;English
Mrs. Serial Killer;Thriller;01/05/2020;106;48;Hindi
Nobody Sleeps in the Woods Tonight;Horror;28/10/2020;103;48;Polish
Take the 10;Comedy;20/01/2017;80;48;English
The Main Event;Comedy;10/04/2020;101;48;English
The Ridiculous 6;Western;11/12/2015;119;48;English
Earth and Blood;Action;17/04/2020;80;49;French
Fearless;Animation/Superhero;14/08/2020;89;49;English
Holiday Rush;Family film;28/11/2019;94;49;English
The Day of the Lord;Drama;30/10/2020;93;49;Spanish
Airplane Mode;Comedy;23/01/2020;96;5;Portuguese
How It Ends;Action-thriller;13/07/2018;113;5;English
Love Like the Falling Rain;Drama;15/10/2020;86;5;Indonesian
Rebirth;Thriller;15/07/2016;100;5;English
Squared Love;Romantic comedy;11/02/2021;102;5;Polish
Cadaver;Horror;22/10/2020;86;51;Norwegian
Clinical;Thriller;13/01/2017;104;51;English
Coffee & Kareem;Action comedy;03/04/2020;88;51;English
Dude;Teen comedy-drama;20/04/2018;97;51;English
Geez & Ann;Romantic drama;25/02/2021;105;51;Indonesian
The Larva Island Movie;Animation;23/07/2020;90;51;English
#REALITYHIGH;Comedy;08/09/2017;99;52;English
American Factory: A Conversation with the Obamas ;Aftershow / Interview;21/08/2019;10;52;English
Desperados;Romantic comedy;03/07/2020;106;52;English
Dolly Parton's Christmas on the Square;Christmas musical;22/11/2020;98;52;English
Father of the Year;Comedy;20/07/2018;94;52;English
Firebrand;Drama;22/02/2019;112;52;Marathi
Ghost Lab;Horror;26/05/2021;117;52;Thai
Girlfriend's Day;Comedy;14/02/2017;70;52;English
Handsome: A Netflix Mystery Movie;Comedy;05/05/2017;81;52;English
Hubie Halloween;Comedy;07/10/2020;103;52;English
Ibiza;Comedy;25/05/2018;94;52;English
Rim of the World;Science fiction adventure;24/05/2019;98;52;English
Sandy Wexler;Comedy;14/04/2017;131;52;English
See You Yesterday;Science fiction;17/05/2019;87;52;English
Still Laugh-In: The Stars Celebrate;Variety show;14/05/2019;60;52;English
Strip Down, Rise Up;Documentary;05/02/2021;112;52;English
Tall Girl;Comedy-drama;13/09/2019;102;52;English
The Beast;Drama;27/11/2020;99;52;Italian
The Week Of;Comedy;27/04/2018;116;52;English
A Christmas Prince: The Royal Wedding;Romantic comedy;30/11/2018;92;53;English
Back to School;Comedy;30/08/2019;83;53;French
Dangerous Lies;Thriller;30/04/2020;97;53;English
Gunjan Saxena: The Kargil Girl;Drama;12/08/2020;112;53;Hindi
Intuition;Thriller;28/05/2020;116;53;Spanish
The Most Assassinated Woman in the World;Thriller;07/09/2018;102;53;French
Things Heard & Seen;Horror;29/04/2021;121;53;English
To Each, Her Own;Romantic comedy;24/06/2018;95;53;French
Who Would You Take to a Deserted Island?;Drama;12/04/2019;93;53;Spanish
XOXO;Drama;26/08/2016;92;53;English
A Babysitter's Guide to Monster Hunting;Comedy/Fantasy/Family;15/10/2020;98;54;English
A Christmas Prince: The Royal Baby;Romantic comedy;05/12/2019;85;54;English
Despite Everything;Comedy;03/05/2019;78;54;Spanish
Dolly Kitty and Those Twinkling Stars;Drama;18/09/2020;120;54;Hindi
Freaks: You're One of Us;Supernatural drama;02/09/2020;92;54;German
Game Over, Man!;Action/Comedy;23/03/2018;101;54;English
Guilty;Thriller;06/03/2020;119;54;Hindi
In the Tall Grass;Horror;04/10/2019;101;54;English
Madame Claude;Drama;02/04/2021;112;54;French
Naked;Comedy;11/08/2017;96;54;English
Outside the Wire;Action/Science fiction;15/01/2021;114;54;English
The Princess Switch: Switched Again;Romantic comedy;19/11/2020;97;54;English
Under the Riccione Sun;Romantic teenage drama;01/07/2020;101;54;Italian
A Very Murray Christmas;Comedy / Musical;04/12/2015;56;55;English
Been So Long;Musical;26/10/2018;100;55;English
Dead Kids;Thriller;01/12/2019;94;55;Filipino
Get the Grift;Comedy;28/04/2021;94;55;Portuguese
Ghosts of Sugar Land;Documentary;16/10/2019;21;55;English
House Arrest;Comedy;15/11/2019;104;55;Hindi
